"Name","AppID"
"CreateService","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Razer\Razer Services\Razer Central\CreateService.bat"
"CreateService","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Razer\Razer Services\GMS\CreateService.bat"
"Crosshair X","47492CenterpointGaming.ProSight_rz8d8f65gztyc!CrosshairX"
"Crosshair Zoom","62269AlexShats.CrosshairZoom_gghb1w55myjr2!App"
"CurseForge","overwolf.cchhcaiapeikjbdbpfplgmpobbcdkdaphclbmkbj"
"Database Compare","Microsoft.Office.DATABASECOMPARE.EXE.15"
"Debian","TheDebianProject.DebianGNULinux_76v4gfsz19hv4!debian"
"Debugging Help","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Debuggers\x86\debugger.chm"
"Debugging Help","{6D809377-6AF0-444B-8957-A3773F02200E}\Windows Kits\10\Debuggers\x64\debugger.chm"
"Defragment and Optimize Drives","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe"
"Descenders","NoMoreRobots.GamePreviewDescenders_671zbmwb2bw9p!App"
"Dev Home","Microsoft.Windows.DevHome_8wekyb3d8bbwe!App"
"Discord","com.squirrel.Discord.Discord"
"Discord PTB","com.squirrel.DiscordPtb.DiscordPtb"
"Disk Cleanup","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe"
"Disney+","Disney.37853FC22B2CE_6rarf9sa4v8jt!App"
"DocNav","Microsoft.AutoGenerated.{57FFD3F6-7DFC-B6AD-935B-DDA74BB8FD6A}"
"Dropbox promotion","C27EB4BA.DropboxOEM_xbfy0k16fey96!App"
"DTS Sound Unbound","DTSInc.DTSSoundUnbound_t5j2fzbtdg37r!App"
"DTS:X Ultra","DTSInc.DTSXUltra_t5j2fzbtdg37r!App"
"EA","{6D809377-6AF0-444B-8957-A3773F02200E}\Electronic Arts\EA Desktop\EA Desktop\EALauncher.exe"
"EA app Updater","{6D809377-6AF0-444B-8957-A3773F02200E}\Electronic Arts\EA Desktop\EA Desktop\EAUpdater.exe"
"EA Error Reporter","{6D809377-6AF0-444B-8957-A3773F02200E}\Electronic Arts\EA Desktop\EA Desktop\ErrorReporter.exe"
"EasyEDA Pro","C:\Users\chave\AppData\Local\Programs\easyeda-pro\easyeda-pro.exe"
"EasyEDA Pro on the Web","https://pro.easyeda.com/"
"Eclipse IDE for Java Developers - 2024-06","C:\Users\chave\eclipse\java-2024-06\eclipse\eclipse.exe"
"Epic Games Launcher","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Epic Games\Launcher\Portal\Binaries\Win32\EpicGamesLauncher.exe"
"Event Viewer","Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}"
"Examples","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\Examples"
"Excel","Microsoft.Office.EXCEL.EXE.15"
"ExpressVPN","ExpressVpn.ExpressVpnNotificationService"
"Feedback Hub","Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App"
"File Explorer","Microsoft.Windows.Explorer"
"File Magic","{6D809377-6AF0-444B-8957-A3773F02200E}\File Magic\FileMagic.exe"
"Firefox","308046B0AF4A39CB"
"Firefox Private Browsing","308046B0AF4A39CB;PrivateBrowsingAUMID"
"FTP Manager Pro","DeskShare.FTPManagerPro_13ddgfpts17ng!App"
"Game Bar","Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App"
"Gamebar Browser","45012KrimmerStudios.WindowsGamebarBrowser_k6pcqv07xae1c!App"
"Get Help","Microsoft.GetHelp_8wekyb3d8bbwe!App"
"Get Started","MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WebExperienceHost"
"Git Bash","Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}"
"Git CMD","Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}"
"Git FAQs (Frequently Asked Questions)","https://github.com/git-for-windows/git/wiki/FAQ"
"Git GUI","{6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe"
"Git Release Notes","{6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html"
"GitHub","Chrome._crx_mjoklffbmgbkkgg.UserData.Profile1"
"Global Flags (X64)","{6D809377-6AF0-444B-8957-A3773F02200E}\Windows Kits\10\Debuggers\x64\gflags.exe"
"Global Flags (X86)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Debuggers\x86\gflags.exe"
"Golf With Your Friends","Team17DigitalLimited.GolfWithYourFriendsWin10_j5x4vj4y67jhc!App"
"Golf With Your Friends","steam://rungameid/431240"
"Google Chrome","Chrome"
"Google Password Manager","Chrome._crx_kajebhanjmmbcfd.UserData.Profile1"
"GoPro Webcam","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\GoPro\GoPro Webcam\GoPro Webcam.exe"
"GoveeDesktop","{6D809377-6AF0-444B-8957-A3773F02200E}\GoveeDesktop\GoveeDesktop.exe"
"Grounded","Microsoft.Maine_8wekyb3d8bbwe!AppGroundedShipping"
